"countryCode","regionCode","regionName"
"AD",6,"Sant Julia de Loria"
"AD",5,"Ordino"
"AD",4,"La Massana"
"AD",3,"Encamp"
"AD",2,"Canillo"
"AD",7,"Andorra la Vella"
"AD",8,"Escaldes-Engordany"
"AE",7,"Umm al Qaywayn"
"AE",5,"Ra's al Khaymah"
"AE",3,"Dubai"
"AE",6,"Ash Shariqah"
"AE",4,"Al Fujayrah"
"AE",2,"Ajman"
"AE",1,"Abu Dhabi"
"AF",28,"Zabul"
"AF",27,"Vardak"
"AF",26,"Takhar"
"AF",33,"Sar-e Pol"
"AF",32,"Samangan"
"AF",40,"Parwan"
"AF",29,"Paktika"
"AF",36,"Paktia"
"AF",39,"Oruzgan"
"AF",19,"Nimroz"
"AF",18,"Nangarhar"
"AF",17,"Logar"
"AF",35,"Laghman"
"AF",24,"Kunduz"
"AF",34,"Kunar"
"AF",14,"Kapisa"
"AF",23,"Kandahar"
"AF",13,"Kabul"
"AF",31,"Jowzjan"
"AF",11,"Herat"
"AF",10,"Helmand"
"AF",9,"Ghowr"
"AF",8,"Ghazni"
"AF",7,"Faryab"
"AF",6,"Farah"
"AF",5,"Bamyan"
"AF",30,"Balkh"
"AF",3,"Baghlan"
"AF",2,"Badghis"
"AF",1,"Badakhshan"
"AF",37,"Khowst"
"AF",38,"Nuristan"
"AF",41,"Daykundi"
"AF",42,"Panjshir"
"AG",8,"Saint Philip"
"AG",7,"Saint Peter"
"AG",6,"Saint Paul"
"AG",5,"Saint Mary"
"AG",4,"Saint John"
"AG",3,"Saint George"
"AG",9,"Redonda"
"AG",1,"Barbuda"
"AI",11205389,"Blowing Point"
"AI",11205392,"Sandy Ground"
"AI",11205393,"Sandy Hill"
"AI",11205396,"The Valley"
"AI",11205433,"East End"
"AI",11205436,"North Hill"
"AI",11205437,"West End"
"AI",11205438,"South Hill"
"AI",11205439,"The Quarter"
"AI",11205440,"North Side"
"AI",11205441,"Island Harbour"
"AI",11205442,"George Hill"
"AI",11205443,"Stoney Ground"
"AI",11205444,"The Farrington"
"AL",40,"Berat"
"AL",41,"Diber"
"AL",43,"Elbasan"
"AL",45,"Gjirokaster"
"AL",46,"Korce"
"AL",47,"Kukes"
"AL",42,"Durres"
"AL",44,"Fier"
"AL",48,"Lezhe"
"AL",49,"Shkoder"
"AL",50,"Tirane"
"AL",51,"Vlore"
"AM",2,"Ararat"
"AM",8,"Syunik"
"AM",10,"Vayots Dzor"
"AM",11,"Yerevan"
"AM",1,"Aragatsotn"
"AM",3,"Armavir"
"AM",4,"Gegharkunik"
"AM",5,"Kotayk"
"AM",6,"Lori"
"AM",7,"Shirak"
"AM",9,"Tavush"
"AO",18,"Lunda Sul"
"AO",17,"Luanda Norte"
"AO",14,"Moxico"
"AO",4,"Cuando Cobango"
"AO",16,"Zaire"
"AO",15,"Uige"
"AO",12,"Malanje"
"AO",20,"Luanda"
"AO",5,"Cuanza Norte"
"AO",3,"Cabinda"
"AO",19,"Bengo"
"AO",13,"Namibe"
"AO",9,"Huila"
"AO",8,"Huambo"
"AO",7,"Cunene"
"AO",6,"Kwanza Sul"
"AO",2,"Bie"
"AO",1,"Benguela"
"AR",14,"Misiones"
"AR",9,"Formosa"
"AR",7,"Buenos Aires F.D."
"AR",8,"Entre Rios"
"AR",6,"Corrientes"
"AR",1,"Buenos Aires"
"AR",24,"Tucuman"
"AR",23,"Tierra del Fuego"
"AR",22,"Santiago del Estero"
"AR",21,"Santa Fe"
"AR",20,"Santa Cruz"
"AR",19,"San Luis"
"AR",18,"San Juan"
"AR",17,"Salta"
"AR",16,"Rio Negro"
"AR",15,"Neuquen"
"AR",13,"Mendoza"
"AR",12,"La Rioja"
"AR",11,"La Pampa"
"AR",10,"Jujuy"
"AR",5,"Cordoba"
"AR",4,"Chubut"
"AR",3,"Chaco"
"AR",2,"Catamarca"
"AS",50,"Western District"
"AS",40,"Swains Island"
"AS",10,"Eastern District"
"AS",20,"Manu'a"
"AS",30,"Rose Island"
"AT",9,"Vienna"
"AT",8,"Vorarlberg"
"AT",7,"Tyrol"
"AT",6,"Styria"
"AT",5,"Salzburg"
"AT",4,"Upper Austria"
"AT",3,"Lower Austria"
"AT",2,"Carinthia"
"AT",1,"Burgenland"
"AU",8,"Western Australia"
"AU",5,"South Australia"
"AU",3,"Northern Territory"
"AU",7,"Victoria"
"AU",6,"Tasmania"
"AU",4,"Queensland"
"AU",2,"New South Wales"
"AU",1,"ACT"
"AX",211,"Mariehamns stad"
"AX",212,"Alands landsbygd"
"AX",213,"Alands skaergard"
"AZ",12,"Beylaqan"
"AZ",69,"Zangilan Rayon"
"AZ",66,"Yardimli"
"AZ",55,"Susa"
"AZ",49,"Salyan"
"AZ",46,"Sabirabad"
"AZ",45,"Saatli"
"AZ",13,"Bilasuvar Rayon"
"AZ",36,"Neftcala"
"AZ",35,"Nakhichevan"
"AZ",32,"Masally"
"AZ",31,"Lerik"
"AZ",29,"Lankaran"
"AZ",28,"Lacin"
"AZ",43,"Qubadli"
"AZ",24,"Imisli"
"AZ",18,"Fuezuli"
"AZ",14,"Jabrayil"
"AZ",15,"Jalilabad"
"AZ",8,"Astara"
"AZ",64,"Xocali"
"AZ",2,"Aghjabadi Rayon"
"AZ",3,"Agdam"
"AZ",7,"Shirvan"
"AZ",30,"Lankaran Sahari"
"AZ",56,"Shusha"
"AZ",57,"Tartar Rayon"
"AZ",61,"Xankandi Sahari"
"AZ",65,"Khojavend"
"AZ",71,"Zardab"
"AZ",70,"Zaqatala"
"AZ",67,"Yevlax"
"AZ",37,"Oguz"
"AZ",59,"Ucar"
"AZ",58,"Tovuz"
"AZ",50,"Samaxi"
"AZ",47,"Shaki Rayon"
"AZ",51,"Shamkir Rayon"
"AZ",27,"Kurdamir Rayon"
"AZ",38,"Qabala Rayon"
"AZ",44,"Qusar"
"AZ",42,"Quba"
"AZ",62,"Goygol Rayon"
"AZ",60,"Xacmaz"
"AZ",26,"Kalbajar"
"AZ",40,"Qazax"
"AZ",21,"Goranboy"
"AZ",39,"Qakh Rayon"
"AZ",25,"Ismayilli"
"AZ",22,"Goeycay"
"AZ",17,"Shabran"
"AZ",16,"Dashkasan Rayon"
"AZ",10,"Balakan Rayon"
"AZ",11,"Barda Rayon"
"AZ",9,"Baki"
"AZ",1,"Abseron"
"AZ",6,"Agsu"
"AZ",4,"Agdas"
"AZ",19,"Gadabay Rayon"
"AZ",5,"Agstafa"
"AZ",20,"Ganja City"
"AZ",33,"Mingacevir City"
"AZ",34,"Naftalan"
"AZ",41,"Qobustan"
"AZ",52,"Samux"
"AZ",48,"Shaki City"
"AZ",53,"Siazan Rayon"
"AZ",54,"Sumqayit"
"AZ",63,"Xizi"
"AZ",68,"Yevlax City"
"AZ",23,"Haciqabul"
"AZ",75,"Nakhchivan"
"BA",1,"Federation of B&H"
"BA",2,"Srspka"
"BA","BRC","Brcko"
"BB",11,"Saint Thomas"
"BB",10,"Saint Philip"
"BB",9,"Saint Peter"
"BB",8,"Saint Michael"
"BB",7,"Saint Lucy"
"BB",6,"Saint Joseph"
"BB",5,"Saint John"
"BB",4,"Saint James"
"BB",3,"Saint George"
"BB",2,"Saint Andrew"
"BB",1,"Christ Church"
"BD",83,"Rajshahi Division"
"BD",81,"Dhaka"
"BD",84,"Chittagong"
"BD",82,"Khulna"
"BD",85,"Barisal"
"BD",86,"Sylhet"
"BD",87,"Rangpur Division"
"BD","H","Mymensingh Division"
"BE","BRU","Brussels Capital"
"BE","WAL","Wallonia"
"BE","VLG","Flanders"
"BF",1,"Boucle du Mouhoun"
"BF",2,"Cascades"
"BF",3,"Centre"
"BF",4,"Centre-Est"
"BF",5,"Centre-Nord"
"BF",6,"Centre-Ouest"
"BF",7,"Centre-Sud"
"BF",8,"Est"
"BF",9,"Hauts-Bassins"
"BF",10,"Nord"
"BF",11,"Plateau-Central"
"BF",12,"Sahel"
"BF",13,"Sud-Ouest"
"BG",52,"Razgrad"
"BG",47,"Montana"
"BG",64,"Vratsa"
"BG",61,"Varna"
"BG",40,"Dobrich"
"BG",58,"Sofia"
"BG",53,"Ruse"
"BG",51,"Plovdiv"
"BG",50,"Pleven"
"BG",49,"Pernik"
"BG",48,"Pazardzhik"
"BG",46,"Lovech"
"BG",43,"Khaskovo"
"BG",42,"Sofia-Capital"
"BG",39,"Burgas"
"BG",38,"Blagoevgrad"
"BG",41,"Gabrovo"
"BG",44,"Kurdzhali"
"BG",45,"Kyustendil"
"BG",54,"Shumen"
"BG",55,"Silistra"
"BG",56,"Sliven"
"BG",57,"Smolyan"
"BG",59,"Stara Zagora"
"BG",60,"Turgovishte"
"BG",62,"Veliko Turnovo"
"BG",63,"Vidin"
"BG",65,"Yambol"
"BH",15,"Muharraq"
"BH",16,"Manama"
"BH",17,"Southern Governorate"
"BH",19,"Northern"
"BI",17,"Makamba"
"BI",10,"Bururi"
"BI",22,"Muramvya"
"BI",13,"Gitega"
"BI",21,"Ruyigi"
"BI",11,"Cankuzo"
"BI",14,"Karuzi"
"BI",9,"Bubanza"
"BI",12,"Cibitoke"
"BI",19,"Ngozi"
"BI",15,"Kayanza"
"BI",18,"Muyinga"
"BI",16,"Kirundo"
"BI",20,"Rutana"
"BI",23,"Mwaro"
"BI",24,"Bujumbura Mairie"
"BI",25,"Bujumbura Rural"
"BI",26,"Rumonge"
"BJ",18,"Zou"
"BJ",16,"Oueme"
"BJ",15,"Mono"
"BJ",10,"Borgou"
"BJ",9,"Atlantique"
"BJ",8,"Atakora"
"BJ",7,"Alibori"
"BJ",11,"Collines"
"BJ",12,"Kouffo"
"BJ",13,"Donga"
"BJ",14,"Littoral"
"BJ",17,"Plateau"
"BM",11,"Warwick"
"BM",10,"Southampton"
"BM",9,"Smith's Parish"
"BM",8,"Sandys"
"BM",7,"Saint George's Parish"
"BM",6,"Saint George"
"BM",5,"Pembroke"
"BM",4,"Paget"
"BM",2,"Hamilton"
"BM",3,"Hamilton city"
"BM",1,"Devonshire"
"BN",4,"Tutong"
"BN",3,"Temburong"
"BN",2,"Brunei and Muara"
"BN",1,"Belait"
"BO",9,"Tarija"
"BO",8,"Santa Cruz"
"BO",7,"Potosi"
"BO",6,"Pando"
"BO",5,"Oruro"
"BO",4,"La Paz"
"BO",2,"Cochabamba"
"BO",1,"Chuquisaca"
"BO",3,"El Beni"
"BQ","BO","Bonaire"
"BQ","SB","Saba"
"BQ","SE","Sint Eustatius"
"BR",22,"Rio Grande do Norte"
"BR",20,"Piaui"
"BR",30,"Pernambuco"
"BR",17,"Paraiba"
"BR",16,"Para"
"BR",13,"Maranhao"
"BR",6,"Ceara"
"BR",3,"Amapa"
"BR",2,"Alagoas"
"BR",28,"Sergipe"
"BR",27,"Sao Paulo"
"BR",26,"Santa Catarina"
"BR",23,"Rio Grande do Sul"
"BR",21,"Rio de Janeiro"
"BR",18,"Parana"
"BR",15,"Minas Gerais"
"BR",11,"Mato Grosso do Sul"
"BR",14,"Mato Grosso"
"BR",29,"Goias"
"BR",7,"Federal District"
"BR",8,"Espirito Santo"
"BR",5,"Bahia"
"BR",31,"Tocantins"
"BR",25,"Roraima"
"BR",4,"Amazonas"
"BR",1,"Acre"
"BR",24,"Rondonia"
"BS",35,"San Salvador"
"BS",18,"Ragged Island"
"BS",32,"Berry Islands"
"BS",23,"New Providence"
"BS",16,"Mayaguana"
"BS",15,"Long Island"
"BS",13,"Inagua"
"BS",22,"Harbour Island"
"BS",25,"Freeport"
"BS",10,"Exuma"
"BS",6,"Cat Island"
"BS",5,"Bimini"
"BS",24,"Acklins"
"BS",36,"Black Point"
"BS",37,"Central Abaco"
"BS",38,"Central Andros"
"BS",39,"Central Eleuthera"
"BS",40,"Crooked Island and Long Cay"
"BS",41,"East Grand Bahama"
"BS",42,"Grand Cay"
"BS",43,"Hope Town"
"BS",44,"Mangrove Cay"
"BS",45,"Moore's Island"
"BS",46,"North Abaco"
"BS",47,"North Andros"
"BS",48,"North Eleuthera"
"BS",49,"Rum Cay"
"BS",50,"South Abaco"
"BS",51,"South Andros"
"BS",52,"South Eleuthera"
"BS",53,"Spanish Wells"
"BS",54,"West Grand Bahama"
"BT",5,"Bumthang"
"BT",6,"Chukha"
"BT",8,"Dagana"
"BT",7,"Chirang"
"BT",9,"Geylegphug"
"BT",10,"Haa"
"BT",11,"Lhuntse"
"BT",12,"Mongar"
"BT",13,"Paro"
"BT",14,"Pemagatshel"
"BT",15,"Punakha"
"BT",16,"Samchi"
"BT",17,"Samdrup Jongkhar"
"BT",18,"Shemgang"
"BT",19,"Tashigang"
"BT",20,"Thimphu"
"BT",21,"Tongsa"
"BT",22,"Wangdi Phodrang"
"BT",23,"Gasa"
"BT",24,"Trashi Yangste"
"BW",10,"Ngwaketsi"
"BW",9,"South-East"
"BW",8,"North-East"
"BW",11,"North-West"
"BW",6,"Kweneng"
"BW",5,"Kgatleng"
"BW",4,"Kgalagadi"
"BW",3,"Ghanzi"
"BW",12,"Chobe"
"BW",1,"Central"
"BW",13,"City of Francistown"
"BW",14,"Gaborone"
"BW",15,"Jwaneng"
"BW",16,"Lobatse"
"BW",17,"Selibe Phikwe"
"BW",18,"Sowa Town"
"BY",7,"Vitebsk"
"BY",6,"Mogilev"
"BY",5,"Minsk"
"BY",4,"Minsk City"
"BY",3,"Grodnenskaya"
"BY",2,"Gomel"
"BY",1,"Brest"
"BZ",6,"Toledo"
"BZ",5,"Stann Creek"
"BZ",4,"Orange Walk"
"BZ",3,"Corozal"
"BZ",2,"Cayo"
"BZ",1,"Belize"
"CA",1,"Alberta"
"CA",2,"British Columbia"
"CA",3,"Manitoba"
"CA",4,"New Brunswick"
"CA",13,"Northwest Territories"
"CA",7,"Nova Scotia"
"CA",14,"Nunavut"
"CA",8,"Ontario"
"CA",9,"Prince Edward Island"
"CA",10,"Quebec"
"CA",11,"Saskatchewan"
"CA",12,"Yukon"
"CA",5,"Newfoundland and Labrador"
"CD",31,"Tshuapa"
"CD",30,"Tshopo"
"CD",29,"Tanganika"
"CD",12,"South Kivu"
"CD",27,"Sankuru"
"CD",11,"Nord Kivu"
"CD",25,"Mongala"
"CD",10,"Maniema"
"CD",23,"Kasai-Central"
"CD",4,"Kasai-Oriental"
"CD",18,"Kasai"
"CD",17,"Ituri"
"CD",16,"Haut Uele"
"CD",15,"Haut-Lomani"
"CD",2,"Equateur"
"CD",13,"Bas Uele"
"CD",22,"Lualaba"
"CD",24,"Mai Ndombe"
"CD",20,"Kwilu"
"CD",19,"Kwango"
"CD",6,"Kinshasa"
"CD",8,"Bas-Congo"
"CD",14,"Haut-Katanga"
"CD",21,"Lomami"
"CD",26,"Nord-Ubangi"
"CD",28,"Sud-Ubangi"
"CF",14,"Vakaga"
"CF",11,"Ouaka"
"CF",8,"Mbomou"
"CF",5,"Haut-Mbomou"
"CF",3,"Haute-Kotto"
"CF",2,"Basse-Kotto"
"CF",1,"Bamingui-Bangoran"
"CF",16,"Sangha-Mbaere"
"CF",13,"Ouham-Pende"
"CF",12,"Ouham"
"CF",17,"Ombella-M'Poko"
"CF",9,"Nana-Mambere"
"CF",7,"Lobaye"
"CF",6,"Kemo"
"CF",4,"Mambere-Kadei"
"CF",15,"Nana-Grebizi"
"CF",18,"Bangui"
"CG",10,"Sangha"
"CG",11,"Pool"
"CG",8,"Plateaux"
"CG",7,"Niari"
"CG",6,"Likouala"
"CG",5,"Lekoumou"
"CG",4,"Kouilou"
"CG",13,"Cuvette"
"CG",1,"Bouenza"
"CG",12,"Brazzaville"
"CG",14,"Cuvette-Ouest"
"CG",7280295,"Pointe-Noire"
"CH","ZH","Zurich"
"CH","ZG","Zug"
"CH","VD","Vaud"
"CH","VS","Valais"
"CH","UR","Uri"
"CH","TI","Ticino"
"CH","TG","Thurgau"
"CH","SO","Solothurn"
"CH","SZ","Schwyz"
"CH","SH","Schaffhausen"
"CH","SG","Saint Gallen"
"CH","OW","Obwalden"
"CH","NW","Nidwalden"
"CH","NE","Neuchatel"
"CH","LU","Lucerne"
"CH","JU","Jura"
"CH","GR","Grisons"
"CH","GL","Glarus"
"CH","GE","Geneva"
"CH","FR","Fribourg"
"CH","BE","Bern"
"CH","BS","Basel-City"
"CH","BL","Basel-Landschaft"
"CH","AR","Appenzell Ausserrhoden"
"CH","AI","Appenzell Innerrhoden"
"CH","AG","Aargau"
"CI",98,"Yamoussoukro Autonomous District"
"CI",76,"Bas-Sassandra"
"CI",94,"Comoe"
"CI",77,"Denguele"
"CI",95,"Goh-Djiboua"
"CI",81,"Lacs"
"CI",82,"Lagunes"
"CI",78,"Montagnes"
"CI",96,"Sassandra-Marahoue"
"CI",87,"Savanes"
"CI",90,"Vallee du Bandama"
"CI",97,"Woroba"
"CI",92,"Zanzan"
"CI",93,"Abidjan"
"CK",11695124,"Aitutaki"
"CK",11695126,"Atiu"
"CK",11695127,"Mangaia"
"CK",11695384,"Manihiki"
"CK",11695385,"Ma'uke"
"CK",11695386,"Mitiaro"
"CK",11695387,"Palmerston"
"CK",11695388,"Penrhyn"
"CK",11695389,"Pukapuka"
"CK",11695390,"Rakahanga"
"CK",11695425,"Rarotonga"
"CL",1,"Valparaiso"
"CL",15,"Tarapaca"
"CL",12,"Santiago Metropolitan"
"CL",11,"Maule Region"
"CL",14,"Los Lagos Region"
"CL",8,"O'Higgins Region"
"CL",7,"Coquimbo Region"
"CL",6,"Biobio"
"CL",5,"Atacama"
"CL",4,"Araucania"
"CL",3,"Antofagasta"
"CL",2,"Aysen"
"CL",10,"Region of Magallanes"
"CL",16,"Arica y Parinacota"
"CL",17,"Los Rios Region"
"CM",9,"South-West"
"CM",14,"South"
"CM",8,"West"
"CM",7,"North-West"
"CM",13,"North"
"CM",5,"Littoral"
"CM",12,"Far North"
"CM",4,"East"
"CM",11,"Centre"
"CM",10,"Adamaoua"
"CN",14,"Tibet"
"CN",6,"Qinghai"
"CN",13,"Xinjiang"
"CN",2,"Zhejiang"
"CN",29,"Yunnan"
"CN",28,"Tianjin"
"CN",32,"Sichuan"
"CN",24,"Shanxi"
"CN",23,"Shanghai"
"CN",25,"Shandong"
"CN",26,"Shaanxi"
"CN",21,"Ningsia Hui Autonomous Region"
"CN",3,"Jiangxi"
"CN",4,"Jiangsu"
"CN",11,"Hunan"
"CN",12,"Hubei"
"CN",9,"Henan"
"CN",10,"Hebei"
"CN",31,"Hainan"
"CN",18,"Guizhou"
"CN",16,"Guangxi"
"CN",30,"Guangdong"
"CN",15,"Gansu"
"CN",7,"Fujian"
"CN",33,"Chongqing"
"CN",1,"Anhui"
"CN",20,"Inner Mongolia"
"CN",19,"Liaoning"
"CN",5,"Jilin"
"CN",8,"Heilongjiang"
"CN",22,"Beijing"
"CO",31,"Vichada"
"CO",30,"Vaupes"
"CO",29,"Valle del Cauca"
"CO",28,"Tolima"
"CO",27,"Sucre"
"CO",26,"Santander"
"CO",25,"San Andres y Providencia"
"CO",24,"Risaralda"
"CO",23,"Quindio"
"CO",22,"Putumayo"
"CO",21,"Norte de Santander"
"CO",20,"Narino"
"CO",19,"Meta"
"CO",38,"Magdalena"
"CO",17,"La Guajira"
"CO",16,"Huila"
"CO",14,"Guaviare"
"CO",15,"Guainia"
"CO",33,"Cundinamarca"
"CO",12,"Cordoba"
"CO",11,"Choco"
"CO",10,"Cesar"
"CO",9,"Cauca"
"CO",32,"Casanare"
"CO",8,"Caqueta"
"CO",37,"Caldas"
"CO",36,"Boyaca"
"CO",35,"Bolivar"
"CO",34,"Bogota D.C."
"CO",4,"Atlantico"
"CO",3,"Arauca"
"CO",2,"Antioquia"
"CO",1,"Amazonas"
"CR",8,"San Jose"
"CR",7,"Puntarenas"
"CR",6,"Limon"
"CR",4,"Heredia"
"CR",3,"Guanacaste"
"CR",2,"Cartago"
"CR",1,"Alajuela"
"CU",16,"Villa Clara"
"CU",15,"Santiago de Cuba"
"CU",14,"Sancti Spiritus"
"CU",1,"Pinar del Rio"
"CU",3,"Matanzas"
"CU",13,"Las Tunas"
"CU",4,"Isla de la Juventud"
"CU",12,"Holguin"
"CU",10,"Guantanamo"
"CU",9,"Granma"
"CU",2,"La Habana"
"CU",8,"Cienfuegos"
"CU",7,"Ciego de Avila"
"CU",5,"Camaguey"
"CU","AR","Artemisa"
"CU","MA","Mayabeque"
"CV",20,"Tarrafal"
"CV",11,"Sao Vicente"
"CV",15,"Santa Catarina"
"CV",8,"Sal"
"CV",7,"Ribeira Grande"
"CV",14,"Praia"
"CV",5,"Paul"
"CV",4,"Maio"
"CV",2,"Brava"
"CV",1,"Boa Vista"
"CV",13,"Mosteiros"
"CV",16,"Santa Cruz"
"CV",17,"Sao Domingos"
"CV",18,"Sao Filipe"
"CV",19,"Sao Miguel"
"CV",21,"Porto Novo"
"CV",22,"Ribeira Brava"
"CV",24,"Santa Catarina do Fogo"
"CV",26,"Sao Salvador do Mundo"
"CV",27,"Tarrafal de Sao Nicolau"
"CV",25,"Sao Lourenco dos Orgaos"
"CV",23,"Ribeira Grande de Santiago"
"CY",6,"Pafos"
"CY",4,"Nicosia"
"CY",5,"Limassol"
"CY",3,"Larnaka"
"CY",2,"Keryneia"
"CY",1,"Ammochostos"
"CZ",52,"Praha"
"CZ",78,"South Moravian"
"CZ",79,"Jihocesky"
"CZ",80,"Vysocina"
"CZ",81,"Karlovarsky"
"CZ",82,"Kralovehradecky"
"CZ",83,"Liberecky"
"CZ",84,"Olomoucky"
"CZ",85,"Moravskoslezsky"
"CZ",86,"Pardubicky"
"CZ",87,"Plzensky"
"CZ",88,"Central Bohemia"
"CZ",89,"Ustecky"
"CZ",90,"Zlin"
"DE",15,"Thuringia"
"DE",10,"Schleswig-Holstein"
"DE",14,"Saxony-Anhalt"
"DE",13,"Saxony"
"DE",9,"Saarland"
"DE",8,"Rheinland-Pfalz"
"DE",7,"North Rhine-Westphalia"
"DE",6,"Lower Saxony"
"DE",12,"Mecklenburg-Vorpommern"
"DE",5,"Hesse"
"DE",4,"Hamburg"
"DE",3,"Bremen"
"DE",11,"Brandenburg"
"DE",16,"Berlin"
"DE",2,"Bavaria"
"DE",1,"Baden-Wuerttemberg"
"DJ",5,"Tadjourah"
"DJ",4,"Obock"
"DJ",7,"Djibouti"
"DJ",6,"Dikhil"
"DJ",1,"Ali Sabieh"
"DJ",8,"Arta"
"DK",17,"Capital Region"
"DK",18,"Central Jutland"
"DK",19,"North Denmark"
"DK",20,"Zealand"
"DK",21,"South Denmark"
"DM",11,"Saint Peter"
"DM",10,"Saint Paul"
"DM",9,"Saint Patrick"
"DM",8,"Saint Mark"
"DM",7,"Saint Luke"
"DM",6,"Saint Joseph"
"DM",5,"Saint John"
"DM",4,"Saint George"
"DM",3,"Saint David"
"DM",2,"Saint Andrew"
"DO",27,"Valverde"
"DO",26,"Santiago Rodriguez"
"DO",25,"Santiago"
"DO",24,"San Pedro de Macoris"
"DO",23,"San Juan"
"DO",33,"San Cristobal"
"DO",21,"Sanchez Ramirez"
"DO",20,"Samana"
"DO",19,"Hermanas Mirabal"
"DO",18,"Puerto Plata"
"DO",35,"Peravia"
"DO",16,"Pedernales"
"DO",34,"Nacional"
"DO",32,"Monte Plata"
"DO",15,"Monte Cristi"
"DO",31,"Monsenor Nouel"
"DO",14,"Maria Trinidad Sanchez"
"DO",30,"La Vega"
"DO",12,"La Romana"
"DO",10,"La Altagracia"
"DO",9,"Independencia"
"DO",29,"Hato Mayor"
"DO",8,"Espaillat"
